lastname,firstname,birthDate,zodiac
Aaron,Hank,05-02-34,Aquarius
Abacha,Sani,20-09-43,Virgo
Abbado,Claudio,26-06-33,Cancer
Abbas,Mahmoud,26-03-35,Aries
Abdel_Rahman,Omar,03-05-38,Taurus
Abdul-Jabbar,Kareem,16-04-47,Aries
Abdullah_II,King_of_Jordan,30-01-62,Aquarius
Abdullah,Abdullah,01-01-60,Capricorn
Abdulmutallab,Umar_Farouk,22-12-86,Capricorn
Abdul-Rauf,Mahmoud,09-03-69,Pisces
Abizaid,John_P,04-04-51,Aries
Abraham,Spencer,12-06-52,Gemini
Abramoff,Jack,28-02-58,Pisces
Abrams,Elliott,24-01-48,Aquarius
Abrams,Floyd,09-07-36,Cancer
Abrams,Robert,04-07-38,Cancer
Abramson,Jill,19-03-54,Pisces
Abreu,Bobby,11-03-74,Pisces
Abu_Marzook,Mousa_Mohammed,09-01-51,Capricorn
Abubakar,Abdulsalam,13-06-42,Gemini
Abu-Jamal,Mumia,24-04-54,Taurus
Accorsi,Ernie,29-10-41,Scorpio
Aciman,Andre,02-01-51,Capricorn
Ackerman,Bruce,19-08-43,Leo
Ackerman,Gary_L,19-11-42,Scorpio
Ackermann,Josef,07-02-48,Aquarius
Ackroyd,Peter,05-10-49,Libra
Adams,Ansel,20-02-02,Pisces
Adams,Gerry,06-10-48,Libra
Adams,John_Quincy,11-07-1767,Cancer
Ades,Thomas,01-03-71,Pisces
Adu,Freddy,02-06-89,Gemini
Affleck,Ben,15-08-72,Leo
Agassi,Andre,29-04-70,Taurus
Agbayani,Benny,28-12-71,Capricorn
Agnelli,Giovanni,01-01-21,Capricorn
Agnew,Spiro_T,09-11-18,Scorpio
Ahern,Bertie,12-09-51,Virgo
Ahmadinejad,Mahmoud,28-10-56,Scorpio
Ahrens,Lynn,01-10-48,Libra
Ahtisaari,Martti,23-06-37,Cancer
Aiello,Danny,20-06-33,Gemini
Aikman,Troy,21-11-66,Scorpio
Ailes,Roger_E,15-05-40,Taurus
Ailey,Alvin,05-01-31,Capricorn
Aimard,Pierre-Laurent,09-09-57,Virgo
Akayev,Askar,10-11-44,Scorpio
Akers,Karen,13-10-45,Libra
Akinwande,Henry,12-10-65,Libra
Albee,Edward,12-03-28,Pisces
Albert,Marv,12-06-41,Gemini
Albrecht,Chris,24-07-52,Leo
Albright,Madeleine_K,15-05-37,Taurus
Alcott,Louisa_May,29-11-1832,Sagittarius
Alda,Alan,28-01-36,Aquarius
Aleman,Arnoldo,23-01-46,Aquarius
Alexander,Jane,28-10-39,Scorpio
Alexander,Jason,23-09-59,Virgo
Alexander,Lamar,03-07-40,Cancer
